Match Number,Round Number,Date,Location,Home Team,Away Team,Result
285,32,04/05/2026 19:15,Estádio José Alvalade,Sporting CP,Vitória SC,5 - 1
289,33,09/05/2026 15:30,Estádio D. Afonso Henriques,Vitória SC,Casa Pia AC,
290,33,09/05/2026 15:30,Estádio Cidade de Barcelos,Gil Vicente FC,FC Arouca,
291,33,09/05/2026 15:30,Estádio João Cardoso,CD Tondela,Moreirense FC,
292,33,09/05/2026 15:30,Estádio do CD Aves,AFS,FC Porto,
293,33,09/05/2026 15:30,Estádio José Gomes,Estrela Amadora,FC Famalicão,
294,33,09/05/2026 15:30,Complexo Desportivo FC Alverca,FC Alverca,Estoril Praia,
295,33,09/05/2026 15:30,Estádio do Rio Ave FC,Rio Ave FC,Sporting CP,
296,33,09/05/2026 15:30,Estádio de São Miguel,Santa Clara,CD Nacional,
297,33,09/05/2026 15:30,Estádio da Luz,SL Benfica,SC Braga,
298,34,16/05/2026 15:30,Parque Joaquim de Almeida Freitas,Moreirense FC,AFS,
299,34,16/05/2026 15:30,Estádio Municipal de Famalicão,FC Famalicão,FC Alverca,
300,34,16/05/2026 15:30,Estádio José Alvalade,Sporting CP,Gil Vicente FC,
301,34,16/05/2026 15:30,Estádio do Dragão,FC Porto,Santa Clara,
302,34,16/05/2026 15:30,Estadio António Coimbra da Mota,Estoril Praia,SL Benfica,
303,34,16/05/2026 15:30,Estádio da Madeira,CD Nacional,Vitória SC,
304,34,16/05/2026 15:30,Estádio Municipal de Rio Maior,Casa Pia AC,Rio Ave FC,
305,34,16/05/2026 15:30,Estádio Municipal de Arouca,FC Arouca,CD Tondela,
306,34,16/05/2026 15:30,Estádio Municipal de Braga,SC Braga,Estrela Amadora,
